       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426874        -157.30132634        -137.28705761
    2100          57.86465887          18.45574057        -155.66814504        -137.21240447
    2200          60.48709291          19.29215718        -156.59447068        -137.30231349
    2300          53.81193893          17.16313902        -154.43944722        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686586          18.79452795        -156.03041541        -137.23588746
    2600          61.65941062          19.66606402        -156.94491185        -137.27884783
    2700          58.81987812          18.76040457        -156.07031128        -137.30990671
    2800          53.15475445          16.95353221        -154.26693033        -137.31339812
    2900          54.95193288          17.52673630        -154.82877244        -137.30203614
    3000          55.99963491          17.86089737        -155.23428930        -137.37339192
    3100          56.97369938          18.17157200        -155.46229971        -137.29072771
    3200          54.82660869          17.48676456        -154.82425966        -137.33749510
    3300          58.17829551          18.55577393        -155.99088496        -137.43511103
    3400          57.28760940          18.27169256        -155.64132100        -137.36962844
    3500          55.43527484          17.68089661        -155.09613565        -137.41523904
    3600          55.08689037          17.56978054        -155.00142338        -137.43164284
    3700          56.84773384          18.13139571        -155.56340543        -137.43200972
    3800          51.62380039          16.46523950        -153.98187820        -137.51663870
    3900          52.18970153          16.64573179        -154.10777390        -137.46204211
    4000          52.04673850          16.60013421        -153.99313600        -137.39300180
    4100          56.74224864          18.09775155        -155.56865811        -137.47090656
    4200          51.99638498          16.58407412        -154.04223131        -137.45815719
    4300          51.52549936          16.43388672        -153.89630233        -137.46241561
    4400          53.09206501          16.93353762        -154.37686551        -137.44332789
    4500          55.28635126          17.63339793        -154.99840269        -137.36500476
    4600          50.51794601          16.11253093        -153.47691547        -137.36438454
    4700          54.84825338          17.49366806        -154.83043967        -137.33677161
    4800          51.60466636          16.45913677        -153.91335114        -137.45421438
    4900          44.16420185          14.08602535        -151.43309344        -137.34706809
    5000          51.67287075          16.48089033        -153.91645128        -137.43556095
    5100          52.10214105          16.61780467        -154.02971696        -137.41191229
    5200          51.73464549          16.50059318        -153.82992164        -137.32932846
    5300          54.58258179          17.40893299        -154.82429519        -137.41536219
    5400          48.73939786          15.54526891        -152.93257340        -137.38730449
    5500          47.80398126          15.24692089        -152.59520901        -137.34828812
    5600          52.99703337          16.90322760        -154.17700092        -137.27377333
    5700          54.94989884          17.52608754        -154.90634915        -137.38026161
    5800          53.81242846          17.16329515        -154.56690190        -137.40360676
    5900          54.63871276          17.42683578        -154.89775918        -137.47092340
    6000          45.42627752          14.48856019        -151.85176335        -137.36320317
    6100          55.10442338          17.57537263        -154.99881660        -137.42344396
    6200          57.33139243          18.28565701        -155.70060072        -137.41494371
    6300          48.97154346          15.61931097        -152.96722995        -137.34791898
    6400          54.44278678          17.36434584        -154.85309082        -137.48874498
    6500          50.73623656          16.18215397        -153.52676038        -137.34460641
    6600          51.03009172          16.27587810        -153.65983977        -137.38396167
    6700          51.75213136          16.50617024        -153.84298140        -137.33681116
    6800          49.89161316          15.91276415        -153.24519557        -137.33243142
    6900          51.46874120          16.41578389        -153.78831216        -137.37252827
    7000          52.96548208          16.89316442        -154.16694351        -137.27377909
    7100          53.42542687          17.03986228        -154.44350322        -137.40364094
    7200          52.55754368          16.76305382        -154.22934201        -137.46628818
    7300          46.38447914          14.79417541        -152.13415887        -137.33998346
    7400          48.36864710          15.42701918        -152.79452237        -137.36750319
    7500          48.17437205          15.36505580        -152.73251606        -137.36746025
    7600          51.29319301          16.35979338        -153.77005859        -137.41026521
    7700          54.75103307          17.46265997        -154.81568543        -137.35302546
    7800          53.85084276          17.17554726        -154.52057869        -137.34503143
    7900          52.75251823          16.82524031        -154.16278384        -137.33754354
    8000          48.34867697          15.42064978        -152.75776188        -137.33711211
    8100          53.54234830          17.07715398        -154.46068977        -137.38353579
    8200          46.59587532          14.86159952        -152.21737119        -137.35577167
    8300          55.48947107          17.69818231        -155.00792008        -137.30973777
    8400          55.45527796          17.68727654        -155.06704230        -137.37976576
    8500          51.77533287          16.51357028        -153.93290471        -137.41933443
    8600          51.87589806          16.54564522        -153.90560994        -137.35996472
    8700          51.09715699          16.29726834        -153.77434502        -137.47707668
    8800          49.64525780          15.83418992        -153.20237552        -137.36818560
    8900          50.88760196          16.23043146        -153.61878477        -137.38835331
    9000          51.75235481          16.50624151        -153.88589583        -137.37965432
    9100          55.54166784          17.71483030        -155.16876639        -137.45393609
    9200          50.95918205          16.25326169        -153.71795770        -137.46469600
